Part,Color,Quantity
3149,1,1000
87552,46,1000
41855pr0006,27,1000
45471pr0005,1004,1000
2682,15,1000
41749,73,1000
3069bpr0084,72,1000
41854pr0011,73,1000
41766,0,1000
2412b,4,1000
3003,15,1000
2950,0,1000
3004,73,1000
3004,4,1000
3021,322,1000
87079,1,1000
87079,14,1000
85080,19,1000
80573,47,1000
48267,36,1000
70026,7,1000
73111pr0003,5,1000
1995pat0003,33,1000
5414,326,1000
92474,41,1000
30350apr0001,7,1000
3010pr9959,4,1000
31248c01,4,1000
2902,0,1000
3676,0,1000
5404,308,1000
32019,0,1000
3149,0,1000
32177,0,1000
43337,8,1000
41750,36,1000
30248,0,1000
54200,1,1000
2902,0,1000
41750,191,1000
93274,0,1000
1745,70,1000
1126,19,1000
14769pr1116,15,1000
43337,1,1000
30602pr0027,0,1000
43337,47,1000
3024,182,1000
3069bpr0092,272,1000
314,1,1000
41854pr0005,25,1000
65633,47,1000
46212,182,1000
41854pr0007,1,1000
2654,41,1000
99780,15,1000
77845,15,1000
50950,272,1000
3040b,8,1000
3004pr9986,1,1000
3048c,2,1000
4495a,6,1000
47424,10,1000
30394,0,1000
22388,41,1000
3004,70,1000
3004,1,1000
3020,28,1000
32017,0,1000
3022,27,1000
3036,4,1000
2432,2,1000
4865b,41,1000
40666,15,1000
5415,326,1000
30565,0,1000
41764,0,1000
30394,0,1000
3245bpr0001,0,1000
1995pat0001,46,1000
32146,0,1000
314,0,1000
30261pr0009,15,1000
30258pr0007,15,1000
30259pr0006,15,1000
3678bpr0004,72,1000
2377,8,1000
41897,0,1000
4175,0,1000
2434,1,1000
2654,182,1000
2377,7,1000
47753pr0016,0,1000
44674pr0002,72,1000
1748,71,1000
2431,33,1000
11289,288,1000
41854pr0010,0,1000
41750,2,1000
2377,19,1000
2377,6,1000
46212,46,1000
41750,73,1000
2654,36,1000
43337,320,1000
51266,0,1000
99207,15,1000
86876,15,1000
77844,15,1000
2300,1,1000
2357,4,1000
3004,27,1000
84954,1053,1000
80683,3,1000
2413,0,1000
4870,71,1000
59349,41,1000
1995pat0002,35,1000
6233,0,1000
42060,0,1000
30250pr0004,14,1000
30259pr0010,15,1000
