name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
0_1_1_11_11_2_15_21_7_9_16_14_5_4_16_14_4_3_17_5_8_9_9_2_5_18_9,bl_3,36,35,8,0.9345238095238096,1.9444444444444444,4.166666666666667,31,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_12_11_21_16_2_15_22_18_19_5_8_9_20_9_2_16_20_3_20_8,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_18_10_15_7_11_3_21_20_19_2_17_20_3_9_9,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_19_18_12_6_13_2_17_8_3_7_5_2_15_20_8,bl_3,29,28,9,0.9267241379310344,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_6_18_12_2_22_8_3_16_15_20_19_4_18_5_9_2_5_8_15_9,bl_3,36,35,9,0.9305555555555556,1.9444444444444444,4.166666666666667,31,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_19_3_13_7_3_3_6_11,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_14_19_11_2_4_18_22_20_4_18_2_9_15_5_5_9_6_3_9_14_19_9_9,bl_3,40,39,9,0.928125,1.95,4.15,35,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_15_22_16_11_2_3_9_16_8_3_6_5_5,bl_3,22,21,8,0.9188311688311688,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_14_3_7_2_2_6_17_16_12_4_4_11_9_8_4_20_18_14_16_18_20_9_9_8,bl_3,41,40,9,0.9207317073170732,1.951219512195122,4.146341463414634,36,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_22_4_8_20_14_10_6_18_18_8_3_2_17_8_3_5,bl_3,24,23,9,0.9192708333333334,1.9166666666666667,4.0,19,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_3_22_6_13_14_20_18_17_8_2_20_14_8_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_14_3_11_2_17_21_7_10_17_9_9_4_18_20_2_16_5_9_4_19_5_8_8,bl_3,38,37,9,0.9292763157894736,1.947368421052632,4.157894736842105,33,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_22_20_3_5_16_14_14_9_17_3_2_20_15_9_9,bl_3,25,24,8,0.9342857142857144,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_11_17_3_7_16_3_21_17_20_9_3,bl_3,12,11,8,0.8988095238095238,1.8333333333333333,3.5,7,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_7_6_3_11_10_19_2_19_4_18_3_20_8_9,bl_3,23,22,9,0.907608695652174,1.9130434782608696,4.0,18,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_18_6_7_11_11_3_3_3,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_11_15_13_2_5_18_21_2_7_2_19_8_17_17_8_9_20_20_20_9,bl_3,42,41,8,0.9472789115646258,1.9523809523809523,4.285714285714286,37,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_12_22_20_3_8_15_15_2_16_21_4_18_19_8_4_19_20_8_4_5_3_8_18_8_8,bl_3,35,34,8,0.9224489795918368,1.9428571428571428,4.0,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_15_19_3_22_20_17_3_8_3_6,bl_3,12,11,8,0.8988095238095238,1.8333333333333333,3.5,7,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_11_12_2_15_20_17_14_9_22_17_9_20_3_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
